# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 436113444229
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                      IPC   [IPC Coverage]
# ........  .......  ..................................................  ..........................................................................................................  ....................
#
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000dbce0                                                                                      -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000dbbec                                                                                      -      -            
     0.02%  python3  libc.so.6                                           [.] malloc                                                                                                  -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000dbd2c                                                                                      -      -            
     0.02%  ABE      libstdc++.so.6.0.33                                 [.] operator delete[](void*)                                                                                -      -            
     0.02%  python3  python3.13                                          [.] _PyLong_Add                                                                                             -      -            
     0.02%  python3  _backend_agg.cpython-313-aarch64-linux-gnu.so       [.] 0x000000000002856c                                                                                      -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000f240c                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] 0x00000000000aad64                                                                                      -      -            
     0.02%  python3  libc.so.6                                           [.] __strlen_asimd                                                                                          -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000e23ec                                                                                      -      -            
     0.02%  ABE      ABE                                                 [.] copy_                                                                                                   -      -            
     0.02%  python3  python3.13                                          [.] PyUnicode_FromFormatV                                                                                   -      -            
     0.02%  python3  _backend_agg.cpython-313-aarch64-linux-gnu.so       [.] 0x000000000004b10c                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] 0x0000000000091788                                                                                      -      -            
     0.02%  ABE      ABE                                                 [.] memset@plt                                                                                              -      -            
     0.02%  ABE      ABE                                                 [.] Ansorg::ps_u_at_xyz(double, double, double)                                                             -      -            
     0.02%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000f1858                                                                                      -      -            
     0.02%  python3  _backend_agg.cpython-313-aarch64-linux-gnu.so       [.] 0x000000000003a41c                                                                                      -      -            
     0.02%  python3  python3.13                                          [.] _PyTuple_FromArraySteal                                                                                 -      -            
     0.01%  ABE      ABE                                                 [.] Ansorg::find_point_bisection(double, int, double*, int)                                                 -      -            
     0.01%  python3  python3.13                                          [.] PyMem_Malloc                                                                                            -      -            
     0.01%  python3  python3.13                                          [.] 0x0000000000092988                                                                                      -      -            
     0.01%  python3  _backend_agg.cpython-313-aarch64-linux-gnu.so       [.] 0x000000000003a424                                                                                      -      -            
     0.01%  python3  python3.13                                          [.] 0x000000000008d440                                                                                      -      -            
     0.01%  python3  python3.13                                          [.] 0x00000000000dc654                                                                                      -      -            
     0.01%  python3  python3.13                                          [.] PyObject_IsTrue                                                                                         -      -            
     0.01%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000f8ea0                                                                                      -      -            
     0.01%  python3  python3.13                                          [.] 0x00000000000ac120                                                                                      -      -            
     0.01%  python3  python3.13                                          [.] 0x00000000000f6ab8                                                                                      -      -            
     0.01%  python3  python3.13                                          [.] 0x000000000008fac0                                                                                      -      -            
     0.01%  python3  python3.13                                          [.] 0x00000000000da854                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x000000000008e214                                                                                      -      -            
     0.00%  ABE      libc.so.6                                           [.] _IO_fgets                                                                                               -      -            
     0.00%  ABE      libc.so.6                                           [.] __GI_____strtod_l_internal                                                                              -      -            
     0.00%  prterun  libhwloc.so.15.9.0                                  [.] free@plt                                                                                                -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000a3150                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000dc608                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d8e00                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x0000000000095c90                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x0000000000147fb0                                                                                      -      -            
     0.00%  python3  [unknown]                                           [k] 0xffffbb7146733314                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d3268                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d2fc4                                                                                      -      -            
     0.00%  prterun  libhwloc.so.15.9.0                                  [.] 0x00000000000295ac                                                                                      -      -            
     0.00%  ABE      libstdc++.so.6.0.33                                 [.] std::locale::locale()                                                                                   -      -            
     0.00%  prterun  libc.so.6                                           [.] __strlen_generic                                                                                        -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d4048                                                                                      -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000754014                                                                                      -      -            
     0.00%  ABE      libc.so.6                                           [.] __strlen_generic                                                                                        -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000753fe4                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000001b3158                                                                                      -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000753ff8                                                                                      -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] pmix_bfrops_base_unpack_val                                                                             -      -            
     0.00%  bash     bash                                                [.] xmalloc                                                                                                 -      -            
     0.00%  prterun  libc.so.6                                           [.] strcmp                                                                                                  -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] strchr                                                                                                  -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] _dl_map_object_from_fd                                                                                  -      -            
     0.00%  prterun  libc.so.6                                           [.] _int_free_chunk                                                                                         -      -            
     0.00%  python3  ld-linux-aarch64.so.1                               [.] _dl_lookup_symbol_x                                                                                     -      -            
     0.00%  mpiexec  ld-linux-aarch64.so.1                               [.] check_match                                                                                             -      -            
     0.00%  bash     ld-linux-aarch64.so.1                               [.] _dl_lookup_symbol_x                                                                                     -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000753ffc                                                                                      -      -            
     0.00%  python3  [unknown]                                           [k] 0xffffbb7146732894                                                                                      -      -            
     0.00%  python3  libc.so.6                                           [.] __GI___strchrnul                                                                                        -      -            
     0.00%  python3  libc.so.6                                           [.] __GI___snprintf                                                                                         -      -            
     0.00%  bash     [unknown]                                           [k] 0xffffbb7146732894                                                                                      -      -            
     0.00%  python3  libc.so.6                                           [.] start_thread                                                                                            -      -            
     0.00%  prterun  [unknown]                                           [k] 0xffffbb7146732894                                                                                      -      -            
     0.00%  python3  libc.so.6                                           [.] __aarch64_ldadd4_rel                                                                                    -      -            
     0.00%  python3  libc.so.6                                           [.] __printf_buffer                                                                                         -      -            
     0.00%  python3  libc.so.6                                           [.] __printf_buffer_write                                                                                   -      -            
     0.00%  ABE      libc.so.6                                           [.] __GI___strchrnul                                                                                        -      -            
     0.00%  ABE      [vdso]                                              [.] __kernel_clock_gettime                                                                                  -      -            
     0.00%  ABE      [unknown]                                           [k] 0xffffbb7146733314                                                                                      -      -            
     0.00%  ABE      libc.so.6                                           [.] __printf_buffer                                                                                         -      -            
     0.00%  python3  libc.so.6                                           [.] __ctype_init                                                                                            -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d3b18                                                                                      -      -            
     0.00%  prterun  libhwloc.so.15.9.0                                  [.] .plt                                                                                                    -      -            
     0.00%  bash     bash                                                [.] 0x0000000000065984                                                                                      -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000002b5a18                                                                                      -      -            
     0.00%  prterun  libc.so.6                                           [.] __ctype_init                                                                                            -      -            
     0.00%  bash     libc.so.6                                           [.] _Fork                                                                                                   -      -            
     0.00%  prterun  libc.so.6                                           [.] __internal_syscall_cancel                                                                               -      -            
     0.00%  python3  libc.so.6                                           [.] __vsnprintf_internal                                                                                    -      -            
     0.00%  python3  libc.so.6                                           [.] __memcpy_generic                                                                                        -      -            
     0.00%  bash     libc.so.6                                           [.] __getrandom_fork_subprocess                                                                             -      -            
     0.00%  python3  libc.so.6                                           [.] __GI___clone3                                                                                           -      -            
     0.00%  bash     [unknown]                                           [k] 0xffffbb7146732db8                                                                                      -      -            
     0.00%  ABE      libc.so.6                                           [.] __ctype_init                                                                                            -      -            
     0.00%  prterun  libc.so.6                                           [.] __GI___clone3                                                                                           -      -            
     0.00%  prterun  libc.so.6                                           [.] _Fork                                                                                                   -      -            
     0.00%  bash     libc.so.6                                           [.] __internal_syscall_cancel                                                                               -      -            
     0.00%  prterun  libc.so.6                                           [.] sched_setaffinity@@GLIBC_2.17                                                                           -      -            
     0.00%  prterun  libhwloc.so.15.9.0                                  [.] hwloc_linux_set_tid_cpubind                                                                             -      -            
     0.00%  python3  libc.so.6                                           [.] thread_start                                                                                            -      -            
     0.00%  python3  python3.13                                          [.] _PyUnicode_JoinArray                                                                                    -      -            
     0.00%  bash     ld-linux-aarch64.so.1                               [.] _start                                                                                                  -      -            
     0.00%  prterun  libc.so.6                                           [.] __syscall_cancel_arch                                                                                   -      -            
     0.00%  prterun  [unknown]                                           [k] 0xffffbb7146732db8                                                                                      -      -            
     0.00%  python3  libc.so.6                                           [.] __internal_syscall_cancel                                                                               -      -            
     0.00%  python3  libc.so.6                                           [.] __vfork                                                                                                 -      -            
     0.00%  ABE      [vdso]                                              [.] __kernel_gettimeofday                                                                                   -      -            
     0.00%  ABE      libc.so.6                                           [.] __syscall_cancel                                                                                        -      -            
     0.00%  ABE      libc.so.6                                           [.] start_thread                                                                                            -      -            
     0.00%  ABE      libevent_core-2.1.so.7.0.1                          [.] 0x00000000000283dc                                                                                      -      -            
     0.00%  ABE      libevent_pthreads-2.1.so.7.0.1                      [.] pthread_self@plt                                                                                        -      -            
     0.00%  ABE      libucm.so.0.0.0                                     [.] gettimeofday@plt                                                                                        -      -            
     0.00%  ABE      libucm.so.0.0.0                                     [.] sched_yield@plt                                                                                         -      -            
     0.00%  python3  libc.so.6                                           [.] __glibc_tls_internal_free                                                                               -      -            
     0.00%  python3  libc.so.6                                           [.] __res_thread_freeres                                                                                    -      -            
     0.00%  python3  libc.so.6                                           [.] __resolv_context_freeres                                                                                -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000002b58b8                                                                                      -      -            


#
# (Tip: To only collect call graph on one event use perf record -e cpu/cpu-cycles,callgraph=1/,branches ; perf report --show-ref-call-graph)
#
