# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 25K of event 'cycles:u'
# Event count (approx.): 2288360700315
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  .......  ..................................................  .................................................................................................................................................................................................  ....................
#
     0.00%  ABE      libevent_core-2.1.so.7.0.1                          [.] evutil_tv_to_msec_                                                                                                                                                                             -      -            
     0.00%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000251cc0                                                                                                                                                                             -      -            
     0.00%  python3  libc.so.6                                           [.] malloc_consolidate                                                                                                                                                                             -      -            
     0.00%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1370                                                                                                                                                                             -      -            
     0.00%  python3  _backend_agg.cpython-313-aarch64-linux-gnu.so       [.] 0x000000000003a434                                                                                                                                                                             -      -            
     0.00%  ABE      ABE                                                 [.] Parallel::build_ghost_gsl(Patch*)                                                                                                                                                              -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000dd104                                                                                                                                                                             -      -            
     0.00%  ABE      ABE                                                 [.] lowerboundset_                                                                                                                                                                                 -      -            
     0.00%  python3  python3.13                                          [.] _PyTuple_FromArraySteal                                                                                                                                                                        -      -            
     0.00%  ABE      ABE                                                 [.] Parallel::data_packer(double*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, int, int, MyList<var>*, MyList<var>*, int) [clone .constprop.0]                                         -      -            
     0.00%  python3  python3.13                                          [.] 0x000000000013ccf4                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000001cf518                                                                                                                                                                             -      -            
     0.00%  ABE      libevent_core-2.1.so.7.0.1                          [.] evutil_gettime_monotonic_@plt                                                                                                                                                                  -      -            
     0.00%  ABE      libmpi.so.40.40.7                                   [.] mca_pml_ob1_isend                                                                                                                                                                              -      -            
     0.00%  python3  libc.so.6                                           [.] __memchr_generic                                                                                                                                                                               -      -            
     0.00%  python3  libc.so.6                                           [.] _int_free_merge_chunk                                                                                                                                                                          -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000b1724                                                                                                                                                                             -      -            
     0.00%  ABE      ABE                                                 [.] Parallel::gs_subtract(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*) [clone .part.0]                                                                                                  -      -            
     0.00%  python3  libc.so.6                                           [.] __printf_buffer                                                                                                                                                                                -      -            
     0.00%  python3  _backend_agg.cpython-313-aarch64-linux-gnu.so       [.] 0x000000000003a49c                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000dbe14                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000001dc9d4                                                                                                                                                                             -      -            
     0.00%  ABE      ABE                                                 [.] Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int)                                                                                        -      -            
     0.00%  python3  python3.13                                          [.] 0x0000000000122fd0                                                                                                                                                                             -      -            
     0.00%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1264                                                                                                                                                                             -      -            
     0.00%  ABE      ABE                                                 [.] Parallel::transfer(MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**, MyList<var>*, MyList<var>*, int)                                                                                  -      -            
     0.00%  ABE      ABE                                                 [.] sommerfeld_rout_                                                                                                                                                                               -      -            
     0.00%  ABE      libucm.so.0.0.0                                     [.] ucm_event_dispatch                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000f4db8                                                                                                                                                                             -      -            
     0.00%  ABE      ABE                                                 [.] Block::getdX(int)                                                                                                                                                                              -      -            
     0.00%  ABE      ABE                                                 [.] Parallel::build_owned_gsl2(Patch*, int)                                                                                                                                                        -      -            
     0.00%  ABE      ABE                                                 [.] bssn_class::Step(int, int)                                                                                                                                                                     -      -            
     0.00%  ABE      libc.so.6                                           [.] _IO_fgets                                                                                                                                                                                      -      -            
     0.00%  ABE      libc.so.6                                           [.] str_to_mpn.part.0.constprop.0                                                                                                                                                                  -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000b57fc                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000a1c98                                                                                                                                                                             -      -            
     0.00%  python3  _multiarray_umath.cpython-313-aarch64-linux-gnu.so  [.] 0x00000000000d8ff4                                                                                                                                                                             -      -            
     0.00%  ABE      libstdc++.so.6.0.33                                 [.] operator delete(void*)                                                                                                                                                                         -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000001cbbec                                                                                                                                                                             -      -            
     0.00%  ABE      libm.so.6                                           [.] __asin_finite@GLIBC_2.17                                                                                                                                                                       -      -            
     0.00%  ABE      ABE                                                 [.] Ansorg::ps_u_at_xyz(double, double, double)                                                                                                                                                    -      -            
     0.00%  ABE      ABE                                                 [.] Ansorg::xyz_to_ABp(double, double, double, double*, double*, double*)                                                                                                                          -      -            
     0.00%  ABE      libm.so.6                                           [.] log@@GLIBC_2.29                                                                                                                                                                                -      -            
     0.00%  python3  python3.13                                          [.] 0x00000000000d97c4                                                                                                                                                                             -      -            
     0.00%  python3  python3.13                                          [.] PyCapsule_GetPointer                                                                                                                                                                           -      -            
     0.00%  ABE      libm.so.6                                           [.] __tan                                                                                                                                                                                          -      -            
